Scenario,Model,Horizon_Hours,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Scenario1_1h,Persistence,1,100.0,0.0001436666666666667,0.01198610306424347,0.9867372756161081,0.009465116279069768,0.008000000000000007,0.04699999999999993,0.011771914460864633
Scenario1_1h,XGBoost,1,100.0,0.00026056062884838896,0.01614189049796798,0.9759460988001643,0.011943398759689925,0.008806900000000062,0.056298199999999854,0.015398017431702412
Scenario1_1h,Random Forest,1,100.0,9.507006001449611e-05,0.009750387685343394,0.9912235173795894,0.00667836623635489,0.004470693542568349,0.05361032613220118,0.009738432998223572
Scenario1_1h,LSTM,1,87.59689922480621,0.00959795638927678,0.0979691603989581,0.11395556677778196,0.07579168565891473,0.056333499999999925,0.26862720000000007,0.09265006478443721
Scenario1_1h,GNN,1,55.81395348837209,0.03399777512845275,0.1843848560171164,-2.1385368064561696,0.1482090620155039,0.12395120000000004,0.4823423,0.13876409788728403
Scenario1_1h,Ensemble_Simple,1,99.2248062015504,0.0038624005208420754,0.06214821414040853,0.6434388382728848,0.0489530032571342,0.04054241146284254,0.15700041840034984,0.04994625662367625
Scenario1_1h,Ensemble_Weighted,1,100.0,0.00012319685365295006,0.011099407806407965,0.9886269657891295,0.007867062717339383,0.005281780254745239,0.053567092997258925,0.011033360104831549
Scenario1_1h,Ensemble_Stacking,1,100.0,0.0009329208479582487,0.030543753010366107,0.9138765284562161,0.025162677411385753,0.020353463674126937,0.07356985544585193,0.030543753010366107
