Scenario,Model,Horizon_Hours,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Scenario3_12h,Persistence,12,87.34223300970874,0.010091324641443113,0.1004555854168553,0.6816027716785367,0.08321997033441209,0.07799999999999985,0.3700000000000001,0.10045544008958514
Scenario3_12h,XGBoost,12,95.25485436893204,0.005668299571685714,0.07528811042711667,0.82115619732333,0.04838978506612609,0.03252635335922238,0.8342722635269165,0.07521716250030745
Scenario3_12h,Random Forest,12,95.20631067961165,0.004701281976832626,0.06856589514352325,0.8516671295229387,0.04805675165458559,0.03433646469505258,0.40281716908575627,0.06831594055790997
