Scenario,Model,Horizon_Hours,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Scenario1_1h,Persistence,1,99.98784490093594,0.000211372523368528,0.014538656174782042,0.993315929584058,0.01142579312021393,0.010000000000000009,0.2679335793357931,0.014538640075630486
Scenario1_1h,LSTM,1,99.9149143065516,0.000399598745577656,0.019989966122473946,0.9873637968123872,0.013284587024340166,0.009298643112182647,0.25807212543487545,0.019976620710245446
Scenario2_6h,Persistence,6,98.97535984386435,0.004693634032730149,0.06851010168384038,0.8513135425271929,0.05674554253134395,0.052999999999999936,0.2679335793357931,0.06851007220739538
Scenario2_6h,LSTM,6,99.73164186386924,0.0012511951028975619,0.03537223632875877,0.9603642367172476,0.02548247085404903,0.01937978935241702,0.31367157649993893,0.03488439891315174
Scenario3_12h,Persistence,12,87.25514201762977,0.010117320769526351,0.10058489334649787,0.6804859700682566,0.0833192403961258,0.07799999999999985,0.3700000000000001,0.10058486479774467
Scenario3_12h,LSTM,12,97.66160626836435,0.0034032812975845067,0.058337649057744065,0.8925213357218221,0.04075392896607031,0.029869596958160383,0.42216130828857423,0.05823623616501721
