Scenario,Model,Horizon_Hours,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Scenario1_1h,Persistence,1,0.0,1.8804036226506997,1.371278098217389,-172.59124114400038,1.3580253939407239,1.2970003172720281,1.754441172938126,0.1901858355999245
Scenario1_1h,GNN,1,55.81395348837209,0.03399777541041027,0.1843848567817061,-2.1385368324853453,0.14820906216968863,0.1239511995315552,0.48234233951568606,0.13876409896218864
Scenario2_6h,Persistence,6,0.0,1.910835963075051,1.3823299038489514,-186.75693737235454,1.3663133901304916,1.3214500924895611,1.7985782717272025,0.20981821423597716
Scenario2_6h,GNN,6,65.89147286821705,0.0228261554603469,0.15108327326460366,-1.2428764813087474,0.12052078084797824,0.09887037658691411,0.4351048736572265,0.11185276837591135
Scenario3_12h,Persistence,12,0.0,1.9353148011778751,1.3911559226693013,-198.1539155275252,1.3708376872946384,1.3243345655469383,1.8526737779945535,0.23689414570766182
Scenario3_12h,GNN,12,72.09302325581395,0.02157845049825382,0.14689605337875425,-1.220534305389807,0.1189730398747348,0.10956226730346674,0.4668203697204589,0.10394109197077142
