Model,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Persistence,99.98768321221824,0.00021225170786750428,0.014568860898076564,0.9933967797656967,0.011465935900891218,0.010000000000000009,0.2679335793357931,0.014568830892456449
XGBoost,99.5758603974794,0.0005548650071902561,0.023555572741715623,0.9825150090854264,0.012240156196750021,0.007814939022064205,0.3394955549240113,0.0234742552595903
Random Forest,99.32137663596704,0.0004832571873223336,0.021983111411316043,0.9847715256499567,0.003785123819186511,0.0004889413399449816,0.3699561649098324,0.021949218873891382
