Scenario,Model,Horizon_Hours,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Scenario1_1h,Persistence,1,99.98788025693855,0.00021112637859082293,0.014530188525646285,0.993345648753644,0.011419464307356684,0.010000000000000009,0.2679335793357931,0.014530180500983505
Scenario1_1h,XGBoost,1,99.3091746454975,0.0008484303161725911,0.02912782717904978,0.9732588918090089,0.01404716371562518,0.008274264335632386,0.46080535984039317,0.029084485893647583
Scenario1_1h,Random Forest,1,99.22433644406739,0.0006383180009014518,0.025264955984554017,0.9798812814712169,0.009455384821736253,0.005047005611909405,0.35995569395881843,0.02524165388359163
Scenario2_6h,Persistence,6,98.98132427843804,0.004685547271443338,0.06845105748959134,0.8522104284499991,0.056727014027644636,0.052999999999999936,0.2679335793357931,0.06845102085182471
Scenario2_6h,XGBoost,6,97.90201309725927,0.0028293433545640055,0.05319157221368819,0.9107580357395368,0.031565527526138296,0.020421317100524916,0.9433231439590455,0.05317641697090219
Scenario2_6h,Random Forest,6,98.14455493572642,0.0030344459676988848,0.05508580550104432,0.9042887749332849,0.033582053056944984,0.022299315505053374,0.6085811951147682,0.05500188926984251
Scenario3_12h,Persistence,12,87.34223300970874,0.010091324641443113,0.1004555854168553,0.6816027716785367,0.08321997033441209,0.07799999999999985,0.3700000000000001,0.10045544008958514
Scenario3_12h,XGBoost,12,95.25485436893204,0.005668299571685714,0.07528811042711667,0.82115619732333,0.04838978506612609,0.03252635335922238,0.8342722635269165,0.07521716250030745
Scenario3_12h,Random Forest,12,95.20631067961165,0.004701281976832626,0.06856589514352325,0.8516671295229387,0.04805675165458559,0.03433646469505258,0.40281716908575627,0.06831594055790997
