Scenario,Model,Horizon_Hours,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Scenario1_1h,Persistence,1,99.98788025693855,0.00021112637859082293,0.014530188525646285,0.993345648753644,0.011419464307356684,0.010000000000000009,0.2679335793357931,0.014530180500983505
Scenario1_1h,GNN,1,98.81226517997818,0.003349090101760194,0.05787132365654162,0.8944422670366624,0.04580074412160946,0.04003617191314701,0.34899907398223884,0.057635307004538255
Scenario2_6h,Persistence,6,98.98132427843804,0.004685547271443338,0.06845105748959134,0.8522104284499991,0.056727014027644636,0.052999999999999936,0.2679335793357931,0.06845102085182471
Scenario2_6h,GNN,6,97.9505214649527,0.004007402076845338,0.06330404471157698,0.8736002004344054,0.04997247659152499,0.0435234260559082,0.3525906114578248,0.0632636148034411
Scenario3_12h,Persistence,12,87.34223300970874,0.010091324641443113,0.1004555854168553,0.6816027716785367,0.08321997033441209,0.07799999999999985,0.3700000000000001,0.10045544008958514
Scenario3_12h,GNN,12,96.44417475728156,0.005070325101757989,0.0712062153309526,0.8400232361509261,0.05564664772531234,0.04718617105484013,0.3867935447692872,0.07120526143258066
