Scenario,Model,Horizon_Hours,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Scenario2_6h,Persistence,6,98.98132427843804,0.004685547271443338,0.06845105748959134,0.8522104284499991,0.056727014027644636,0.052999999999999936,0.2679335793357931,0.06845102085182471
Scenario2_6h,XGBoost,6,97.90201309725927,0.0028293433545640055,0.05319157221368819,0.9107580357395368,0.031565527526138296,0.020421317100524916,0.9433231439590455,0.05317641697090219
Scenario2_6h,Random Forest,6,98.14455493572642,0.0030344459676988848,0.05508580550104432,0.9042887749332849,0.033582053056944984,0.022299315505053374,0.6085811951147682,0.05500188926984251
