Scenario,Model,Horizon_Hours,Central Frequency 15cm,MSE,RMSE,R2,MAE,MedAE,MaxErr,residual Stdev
Scenario2_6h,Persistence,6,100.0,0.0026242170542635666,0.05122711249195651,0.7421469102371729,0.044356589147286817,0.04500000000000004,0.1180000000000001,0.050162883538755844
Scenario2_6h,XGBoost,6,100.0,0.0016787561284975691,0.04097262657552685,0.8350470080254636,0.03139787519379845,0.024398600000000048,0.13936839999999995,0.03968661270570339
Scenario2_6h,Random Forest,6,97.67441860465115,0.002219277627258221,0.047109209580062164,0.7819358759595297,0.03548630620539343,0.027823842117996156,0.1702920752025684,0.045527832663099205
Scenario2_6h,LSTM,6,72.86821705426357,0.012825985082050835,0.11325186568905095,-0.260269182873228,0.09305452209302326,0.0801890999999999,0.2131383,0.10532302765629685
Scenario2_6h,GNN,6,65.89147286821705,0.022826157011602417,0.15108327839838007,-1.2428766337336494,0.12052078488372094,0.09887040000000002,0.4351049,0.11185277199051566
Scenario2_6h,Ensemble_Simple,6,100.0,0.003182639372518413,0.05641488608974065,0.6872768605510806,0.04433679123882479,0.035331947866740654,0.13500545570167588,0.04763416056595506
Scenario2_6h,Ensemble_Weighted,6,100.0,0.0014520519621163787,0.03810579958636715,0.8573227453424366,0.030071325691281486,0.023153468847399328,0.13427845704932873,0.03804128484650519
Scenario2_6h,Ensemble_Stacking,6,100.0,0.002047239655527892,0.04524643251713766,0.7988401646101666,0.036169008628800424,0.03040220752921141,0.12174260361653655,0.04524643251713766
