Station,ID,Missing_Count,Missing_Pct,Valid_Records,Mean,Std,Min,Max,Max_Gap_Hours,Quality
005-pwl,005,2495,7.1155601186402,32569,1.1482678620774354,0.3233231060609452,0.699,4.477,648,✅ Good
008-pwl,008,1416,4.038329911019849,33648,1.5413997563005228,0.21778652066182513,0.771,2.62,280,✅ Excellent
013-pwl,013,701,1.9992014601870864,34363,0.7943200244448971,0.13942213734355108,0.433,1.423,251,✅ Excellent
068-pwl,068,3707,10.57209673739448,31357,4.316109449245783,0.14513437456724027,3.897,4.904,1359,⚠️  Acceptable
202-pwl,202,1170,3.336755646817249,33894,9.018642532601639,0.1575160942439187,8.522,9.932,355,✅ Excellent
272-pwl,272,14804,42.219940679899615,20260,7.88264397828233,0.751352446321948,6.927,17.351,12240,⚠️  Poor
015-pwl,015,29841,85.1043805612594,5223,2.385851234922458,0.9941109359280472,1.821,8.574,17598,❌ Unusable
